SummaryLevel,US,CensusRegion,CensusDivision,GEOID,AreaName,B27001_001,B27001_002,B27001_003,B27001_004,B27001_005,B27001_006,B27001_007,B27001_008,B27001_009,B27001_010,B27001_011,B27001_012,B27001_013,B27001_014,B27001_015,B27001_016,B27001_017,B27001_018,B27001_019,B27001_020,B27001_021,B27001_022,B27001_023,B27001_024,B27001_025,B27001_026,B27001_027,B27001_028,B27001_029,B27001_030,B27001_031,B27001_032,B27001_033,B27001_034,B27001_035,B27001_036,B27001_037,B27001_038,B27001_039,B27001_040,B27001_041,B27001_042,B27001_043,B27001_044,B27001_045,B27001_046,B27001_047,B27001_048,B27001_049,B27001_050,B27001_051,B27001_052,B27001_053,B27001_054,B27001_055,B27001_056,B27001_057,B27002_001,B27002_002,B27002_003,B27002_004,B27002_005,B27002_006,B27002_007,B27002_008,B27002_009,B27002_010,B27002_011,B27002_012,B27002_013,B27002_014,B27002_015,B27002_016,B27002_017,B27002_018,B27002_019,B27002_020,B27002_021,B27002_022,B27002_023,B27002_024,B27002_025,B27002_026,B27002_027,B27002_028,B27002_029,B27002_030,B27002_031,B27002_032,B27002_033,B27002_034,B27002_035,B27002_036,B27002_037,B27002_038,B27002_039,B27002_040,B27002_041,B27002_042,B27002_043,B27002_044,B27002_045,B27002_046,B27002_047,B27002_048,B27002_049,B27002_050,B27002_051,B27002_052,B27002_053,B27002_054,B27002_055,B27002_056,B27002_057,C27001A_001,C27001A_002,C27001A_003,C27001A_004,C27001A_005,C27001A_006,C27001A_007,C27001A_008,C27001A_009,C27001A_010,C27001B_001,C27001B_002,C27001B_003,C27001B_004,C27001B_005,C27001B_006,C27001B_007,C27001B_008,C27001B_009,C27001B_010,C27001C_001,C27001C_002,C27001C_003,C27001C_004,C27001C_005,C27001C_006,C27001C_007,C27001C_008,C27001C_009,C27001C_010,C27001D_001,C27001D_002,C27001D_003,C27001D_004,C27001D_005,C27001D_006,C27001D_007,C27001D_008,C27001D_009,C27001D_010,C27001E_001,C27001E_002,C27001E_003,C27001E_004,C27001E_005,C27001E_006,C27001E_007,C27001E_008,C27001E_009,C27001E_010,C27001F_001,C27001F_002,C27001F_003,C27001F_004,C27001F_005,C27001F_006,C27001F_007,C27001F_008,C27001F_009,C27001F_010,C27001G_001,C27001G_002,C27001G_003,C27001G_004,C27001G_005,C27001G_006,C27001G_007,C27001G_008,C27001G_009,C27001G_010,C27001H_001,C27001H_002,C27001H_003,C27001H_004,C27001H_005,C27001H_006,C27001H_007,C27001H_008,C27001H_009,C27001H_010,C27001I_001,C27001I_002,C27001I_003,C27001I_004,C27001I_005,C27001I_006,C27001I_007,C27001I_008,C27001I_009,C27001I_010,B27003_001,B27003_002,B27003_003,B27003_004,B27003_005,B27003_006,B27003_007,B27003_008,B27003_009,B27003_010,B27003_011,B27003_012,B27003_013,B27003_014,B27003_015,B27003_016,B27003_017,B27003_018,B27003_019,B27003_020,B27003_021,B27003_022,B27003_023,B27003_024,B27003_025,B27003_026,B27003_027,B27003_028,B27003_029,B27003_030,B27003_031,B27003_032,B27003_033,B27003_034,B27003_035,B27003_036,B27003_037,B27003_038,B27003_039,B27003_040,B27003_041,B27003_042,B27003_043,B27003_044,B27003_045,B27003_046,B27003_047,B27003_048,B27003_049,B27003_050,B27003_051,B27003_052,B27003_053,B27003_054,B27003_055,B27003_056,B27003_057,C27004_001,C27004_002,C27004_003,C27004_004,C27004_005,C27004_006,C27004_007,C27004_008,C27004_009,C27004_010,C27004_011,C27004_012,C27004_013,C27004_014,C27004_015,C27004_016,C27004_017,C27004_018,C27004_019,C27004_020,C27004_021,C27005_001,C27005_002,C27005_003,C27005_004,C27005_005,C27005_006,C27005_007,C27005_008,C27005_009,C27005_010,C27005_011,C27005_012,C27005_013,C27005_014,C27005_015,C27005_016,C27005_017,C27005_018,C27005_019,C27005_020,C27005_021,C27006_001,C27006_002,C27006_003,C27006_004,C27006_005,C27006_006,C27006_007,C27006_008,C27006_009,C27006_010,C27006_011,C27006_012,C27006_013,C27006_014,C27006_015,C27006_016,C27006_017,C27006_018,C27006_019,C27006_020,C27006_021,C27007_001,C27007_002,C27007_003,C27007_004,C27007_005,C27007_006,C27007_007,C27007_008,C27007_009,C27007_010,C27007_011,C27007_012,C27007_013,C27007_014,C27007_015,C27007_016,C27007_017,C27007_018,C27007_019,C27007_020,C27007_021,C27008_001,C27008_002,C27008_003,C27008_004,C27008_005,C27008_006,C27008_007,C27008_008,C27008_009,C27008_010,C27008_011,C27008_012,C27008_013,C27008_014,C27008_015,C27008_016,C27008_017,C27008_018,C27008_019,C27008_020,C27008_021,C27009_001,C27009_002,C27009_003,C27009_004,C27009_005,C27009_006,C27009_007,C27009_008,C27009_009,C27009_010,C27009_011,C27009_012,C27009_013,C27009_014,C27009_015,C27009_016,C27009_017,C27009_018,C27009_019,C27009_020,C27009_021,B27010_001,B27010_002,B27010_003,B27010_004,B27010_005,B27010_006,B27010_007,B27010_008,B27010_009,B27010_010,B27010_011,B27010_012,B27010_013,B27010_014,B27010_015,B27010_016,B27010_017,B27010_018,B27010_019,B27010_020,B27010_021,B27010_022,B27010_023,B27010_024,B27010_025,B27010_026,B27010_027,B27010_028,B27010_029,B27010_030,B27010_031,B27010_032,B27010_033,B27010_034,B27010_035,B27010_036,B27010_037,B27010_038,B27010_039,B27010_040,B27010_041,B27010_042,B27010_043,B27010_044,B27010_045,B27010_046,B27010_047,B27010_048,B27010_049,B27010_050,B27010_051,B27010_052,B27010_053,B27010_054,B27010_055,B27010_056,B27010_057,B27010_058,B27010_059,B27010_060,B27010_061,B27010_062,B27010_063,B27010_064,B27010_065,B27010_066,B27011_001,B27011_002,B27011_003,B27011_004,B27011_005,B27011_006,B27011_007,B27011_008,B27011_009,B27011_010,B27011_011,B27011_012,B27011_013,B27011_014,B27011_015,B27011_016,B27011_017,B27011_018,B27011_019,B27011_020,B27011_021,B27011_022,B27011_023,B27011_024,B27011_025,B27011_026,B27011_027,B27011_028,B27011_029,B27011_030,B27011_031,B27011_032,B27011_033,B27011_034,B27011_035,B27015_001,B27015_002,B27015_003,B27015_004,B27015_005,B27015_006,B27015_007,B27015_008,B27015_009,B27015_010,B27015_011,B27015_012,B27015_013,B27015_014,B27015_015,B27015_016,B27015_017,B27015_018,B27015_019,B27015_020,B27015_021,B27015_022,B27015_023,B27015_024,B27015_025,B27015_026,C27012_001,C27012_002,C27012_003,C27012_004,C27012_005,C27012_006,C27012_007,C27012_008,C27012_009,C27012_010,C27012_011,C27012_012,C27012_013,C27012_014,C27012_015,C27012_016,C27012_017,C27012_018,C27012_019,C27012_020,C27012_021,C27012_022,C27012_023,C27012_024,C27012_025,C27012_026,C27012_027,C27012_028,C27012_029,C27012_030,C27012_031,C27012_032,C27012_033,C27012_034,C27012_035,C27012_036,C27012_037,C27012_038,C27012_039,C27012_040,C27012_041,C27012_042,C27012_043,C27012_044,C27012_045,C27012_046,C27013_001,C27013_002,C27013_003,C27013_004,C27013_005,C27013_006,C27013_007,C27013_008,C27013_009,C27013_010,C27013_011,C27013_012,C27013_013,C27013_014,C27013_015,C27013_016,C27013_017,C27013_018,C27013_019,C27013_020,C27013_021,C27013_022,C27014_001,C27014_002,C27014_003,C27014_004,C27014_005,C27014_006,C27014_007,C27014_008,C27014_009,C27014_010,C27014_011,C27014_012,C27014_013,C27014_014,C27014_015,C27014_016,C27014_017,C27014_018,C27014_019,C27014_020,C27014_021,C27014_022,B27019_001,B27019_002,B27019_003,B27019_004,B27019_005,B27019_006,B27019_007,B27019_008,B27019_009,B27019_010,B27019_011,B27019_012,B27019_013,B27019_014,B27019_015,B27019_016,B27019_017,B27019_018,B27019_019,B27019_020,B27019_021,B27019_022,B27019_023,B27019_024,B27019_025,B27019_026,B27019_027,B27019_028,B27019_029,B27019_030,B27019_031,B27019_032,B27019_033,B27019_034,B27019_035,B27019_036,B27019_037,B27019_038,B27019_039,B27019_040,B27019_041,B27019_042,B27019_043,B27020_001,B27020_002,B27020_003,B27020_004,B27020_005,B27020_006,B27020_007,B27020_008,B27020_009,B27020_010,B27020_011,B27020_012,B27020_013,B27020_014,B27020_015,B27020_016,B27020_017,B27022_001,B27022_002,B27022_003,B27022_004,B27022_005,B27022_006,B27022_007,B27022_008,B27022_009,B27022_010,B27022_011,B27022_012,B27022_013,B27022_014,B27022_015,B27023_001,B27023_002,B27023_003,B27023_004,B27023_005,B27023_006,B27023_007,B27023_008,B27023_009,B27023_010,B27023_011,B27023_012,B27023_013,B27023_014,B27023_015,C27016_001,C27016_002,C27016_003,C27016_004,C27016_005,C27016_006,C27016_007,C27016_008,C27016_009,C27016_010,C27016_011,C27016_012,C27016_013,C27016_014,C27016_015,C27016_016,C27016_017,C27016_018,C27016_019,C27016_020,C27016_021,C27016_022,C27016_023,C27016_024,C27016_025,C27016_026,C27016_027,C27016_028,C27016_029,C27016_030,C27016_031,C27016_032,C27016_033,C27016_034,C27016_035,C27016_036,C27016_037,C27016_038,C27016_039,C27016_040,C27016_041,C27017_001,C27017_002,C27017_003,C27017_004,C27017_005,C27017_006,C27017_007,C27017_008,C27017_009,C27017_010,C27017_011,C27017_012,C27017_013,C27017_014,C27017_015,C27017_016,C27017_017,C27017_018,C27017_019,C27017_020,C27017_021,C27017_022,C27017_023,C27017_024,C27017_025,C27017_026,C27017_027,C27017_028,C27017_029,C27017_030,C27017_031,C27017_032,C27017_033,C27017_034,C27017_035,C27017_036,C27017_037,C27017_038,C27017_039,C27017_040,C27017_041,C27018_001,C27018_002,C27018_003,C27018_004,C27018_005,C27018_006,C27018_007,C27018_008,C27018_009,C27018_010,C27018_011,C27018_012,C27018_013,C27018_014,C27018_015,C27018_016,C27018_017,C27018_018,C27018_019,C27018_020,C27018_021,C27018_022,C27018_023,C27018_024,C27018_025,C27018_026,C27018_027,C27018_028,C27018_029,C27018_030,C27018_031,C27018_032,C27018_033,C27018_034,C27018_035,C27018_036,C27018_037,C27018_038,C27018_039,C27018_040,C27018_041
10,US,,,01000US,United States,313576137,153162940,12227441,11643526,583915,25282489,23659835,1622654,15350990,12112729,3238261,20901264,15669472,5231792,19499072,15722620,3776452,20965500,17819431,3146069,19068251,17076497,1991754,12168198,12041594,126604,7699735,7657815,41920,160413197,11684980,11115775,569205,24280468,22723174,1557294,15151707,12591379,2560328,21367510,17505087,3862423,20279901,17146763,3133138,21975842,19083932,2891910,20665987,18537874,2128113,13896484,13730727,165757,11110318,11037661,72657,313576137,153162940,12227441,6681405,5546036,25282489,15472692,9809797,15350990,10320013,5030977,20901264,13533513,7367751,19499072,13824592,5674480,20965500,15487212,5478288,19068251,14293879,4774372,12168198,7484651,4683547,7699735,5025086,2674649,160413197,11684980,6340799,5344181,24280468,14837410,9443058,15151707,10050466,5101241,21367510,13934089,7433421,20279901,14434476,5845425,21975842,16425197,5550645,20665987,15595800,5070187,13896484,8439391,5457093,11110318,6831930,4278388,230450534,49675209,46827488,2847721,143111271,122166665,20944606,37664054,37442675,221379,38980272,10370143,9857498,512645,24697529,19916040,4781489,3912600,3859877,52723,2534616,718140,616252,101888,1586907,1102961,483946,229569,224235,5334,16530850,3424640,3237704,186936,11274944,9750322,1524622,1831266,1756959,74307,547115,149511,138428,11083,357008,294565,62443,40596,39560,1036,14942678,4617639,4152462,465177,9592002,6217600,3374402,733037,687943,45094,9590072,4520096,4312478,207618,4606363,3817631,788732,463613,456548,7065,194615749,38032602,36338667,1693935,121484969,107610096,13874873,35098178,34988861,109317,54469994,17918301,16203243,1715058,33083067,22205106,10877961,3468626,3305416,163210,313576137,153162940,12227441,5405414,6822027,25282489,9169578,16112911,15350990,2126636,13224354,20901264,2701630,18199634,19499072,2482609,17016463,20965500,3149617,17815883,19068251,4105629,14962622,12168198,11494655,673543,7699735,7579301,120434,160413197,11684980,5185477,6499503,24280468,8808944,15471524,15151707,2901241,12250466,21367510,4039367,17328143,20279901,3168315,17111586,21975842,3241974,18733868,20665987,3908945,16757042,13896484,13202863,693621,11110318,10928005,182313,313576137,153162940,37509930,19239001,18270929,95785077,58136628,37648449,19867933,7335576,12532357,160413197,35965448,18388834,17576614,99440947,60222342,39218605,25006802,8100780,16906022,313576137,153162940,37509930,2647562,34862368,95785077,10239227,85545850,19867933,6058029,13809904,160413197,35965448,2533850,33431598,99440947,10906773,88534174,25006802,8334535,16672267,313576137,153162940,37509930,226982,37282948,95785077,3604672,92180405,19867933,19020556,847377,160413197,35965448,216250,35749198,99440947,3761508,95679439,25006802,24126773,880029,313576137,153162940,37509930,14425222,23084708,95785077,10508318,85276759,19867933,2365275,17502658,160413197,35965448,13849139,22116309,99440947,14844349,84596598,25006802,3881918,21124884,313576137,153162940,37509930,912565,36597365,95785077,1865380,93919697,19867933,1384903,18483030,160413197,35965448,870719,35094729,99440947,2093162,97347785,25006802,1264598,23742204,313576137,153162940,37509930,43196,37466734,95785077,2615819,93169258,19867933,3357614,16510319,160413197,35965448,40404,35925044,99440947,566581,98874366,25006802,321550,24685252,313576137,73475378,65109722,34410287,3852219,202751,25400518,1217945,26002,4032588,737085,25752,167565,355361,13168,2733657,4333068,72771471,54202794,37925831,5787275,229426,9191150,864298,204814,3675873,1224407,48835,376465,307982,38731,1679453,14892804,122454553,94934763,71416584,9715444,2110731,9828956,1153106,709942,10452354,2445849,687338,376799,2372431,599045,303901,3666991,17067436,44874735,13064961,1028312,175021,11818560,13306,29762,31402836,39755,8997503,8840780,3798418,6579,1039999,8679802,406938,240100759,157812404,146523866,138920971,119125119,110326222,11914478,19795852,7602895,7510741,5417077,6694672,92154,11288538,10928258,6881204,4117013,3053147,4047054,360280,348448,182400,339293,11832,82288355,45376795,37259461,23456002,16858338,8117334,36911560,36608608,22181581,36170859,302952,309788679,51903045,42241677,15779942,32923662,9661368,65873853,54521762,34149008,30191362,11352091,56635115,49576712,39835194,16977189,7058403,42550944,38888778,34295675,9064649,3662166,92825722,88233259,82343111,13517316,4592463,240100759,102988284,99189579,87565699,76364734,8949423,404491,4255033,11623880,3798705,3746558,2285044,849653,3057243,182227,52147,58381374,52839692,41229040,27203010,6960766,890398,7777863,11610652,5541682,5486298,2083324,1879965,5305408,406186,55384,78731101,43196753,34471045,14791226,5235811,6071291,13319771,8725708,35534348,35234941,11067988,11662946,34784678,5658780,299407,240100759,102988284,99189579,83812641,15376938,3798705,2909480,889225,58381374,52839692,33809279,19030413,5541682,3624629,1917053,78731101,43196753,20277317,22919436,35534348,21246949,14287399,240100759,102988284,99189579,5808758,93380821,3798705,3072617,726088,58381374,52839692,8857388,43982304,5541682,5311864,229818,78731101,43196753,17159817,26036936,35534348,34820343,714005,209598062,164723327,18813042,11918613,6565684,5989844,6894429,42842373,33886287,26395730,9197161,8956086,50172918,43098497,36879434,8410451,7074421,52894994,49658279,47687910,3200630,3236715,44874735,7955782,7762902,3322829,7628711,192880,14502711,14409672,8960099,14118283,93039,11028422,10974387,7353850,10670148,54035,11387820,11320836,8144280,10787682,66984,313576137,271739505,246142724,186765058,92452853,25596781,41836632,19819629,17489342,12927060,6687375,2330287,22017003,13243825,9320483,4459972,8773178,30589408,15366717,6173000,5318210,854790,9193717,6512299,2681418,15222691,6991898,6077585,914313,8230793,6402904,1827889,30589408,15366717,6173000,4817822,1355178,9193717,5495055,3698662,15222691,6991898,5332519,1659379,8230793,4724586,3506207,309935314,69154557,21935724,20184428,1751296,39534487,26723101,12811386,7684346,7520519,163827,35110537,9428521,8603958,824563,19922721,14262642,5660079,5759295,5700363,58932,92632352,21168667,19930731,1237936,56727980,47428264,9299716,14735705,14628387,107318,113037868,19923128,19483936,439192,76419500,72376908,4042592,16695240,16618379,76861,309935314,69154557,21935724,4076361,17859363,39534487,12163719,27370768,7684346,2995566,4688780,35110537,9428521,4318272,5110249,19922721,10337385,9585336,5759295,2999362,2759933,92632352,21168667,15979286,5189381,56727980,42533768,14194212,14735705,9386906,5348799,113037868,19923128,18646786,1276342,76419500,70486473,5933027,16695240,12399165,4296075,309935314,69154557,21935724,17144827,4790897,39534487,15970448,23564039,7684346,7394551,289795,35110537,9428521,4809235,4619286,19922721,4780315,15142406,5759295,5632285,127010,92632352,21168667,4747878,16420789,56727980,7006339,49721641,14735705,14330541,405164,113037868,19923128,1197833,18725295,76419500,3935371,72484129,16695240,15847331,847909
10,US,,,01001US,United States -- Urban,254262712,123468959,10212207,9756438,455769,20444379,19160169,1284210,12994746,10286790,2707956,17886301,13421311,4464990,16072630,12924975,3147655,16520973,14026996,2493977,14491375,12960749,1530626,8953987,8843169,110818,5892361,5856002,36359,130793753,9770637,9326145,444492,19708348,18466580,1241768,13020839,10853863,2166976,18359304,15081707,3277597,16796602,14192334,2604268,17481897,15179690,2302207,16055505,14397103,1658402,10672636,10523640,148996,8927985,8862939,65046,254262712,123468959,10212207,5560560,4651647,20444379,12386703,8057676,12994746,8759258,4235488,17886301,11625704,6260597,16072630,11366073,4706557,16520973,12155579,4365394,14491375,10812290,3679085,8953987,5438917,3515070,5892361,3796479,2095882,130793753,9770637,5287622,4483015,19708348,11926118,7782230,13020839,8679971,4340868,18359304,12033837,6325467,16796602,11904437,4892165,17481897,12987006,4494891,16055505,12019484,4036021,10672636,6361622,4311014,8927985,5419561,3508424,177861699,38342548,36236305,2106243,111526976,95196482,16330494,27992175,27805516,186659,35682576,9575092,9099757,475335,22658896,18315596,4343300,3448588,3398613,49975,1562295,423760,373516,50244,1009491,729219,280272,129044,126322,2722,16026894,3302124,3122484,179640,10952152,9474151,1478001,1772618,1700831,71787,505690,138578,128299,10279,330162,272799,57363,36950,35982,968,14177194,4366487,3936528,429959,9119083,5936760,3182323,691624,649061,42563,8446364,3986982,3812443,174539,4083412,3400511,682901,375970,369425,6545,144563188,27613247,26558761,1054486,91340798,81583243,9757555,25609143,25528281,80862,50930975,16636860,15068058,1568802,31059909,20901818,10158091,3234206,3079900,154306,254262712,123468959,10212207,4558069,5654138,20444379,7553159,12891220,12994746,1799910,11194836,17886301,2258076,15628225,16072630,2024885,14047745,16520973,2500366,14020607,14491375,3112094,11379281,8953987,8389443,564544,5892361,5789866,102495,130793753,9770637,4375494,5395143,19708348,7275641,12432707,13020839,2472692,10548147,18359304,3438055,14921249,16796602,2658074,14138528,17481897,2647217,14834680,16055505,3100552,12954953,10672636,10076798,595838,8927985,8768640,159345,254262712,123468959,30656586,15606980,15049606,77966025,47291009,30675016,14846348,5600427,9245921,130793753,29478985,14965805,14513180,81714147,49388108,32326039,19600621,6427663,13172958,254262712,123468959,30656586,2097624,28558962,77966025,8169737,69796288,14846348,4320435,10525913,130793753,29478985,2014415,27464570,81714147,8789597,72924550,19600621,6284360,13316261,254262712,123468959,30656586,189231,30467355,77966025,2669671,75296354,14846348,14138864,707484,130793753,29478985,181782,29297203,81714147,2901961,78812186,19600621,18842288,758333,254262712,123468959,30656586,11987989,18668597,77966025,8674318,69291707,14846348,1878350,12967998,130793753,29478985,11530331,17948654,81714147,12493180,69220967,19600621,3198314,16402307,254262712,123468959,30656586,762412,29894174,77966025,1503249,76462776,14846348,1030877,13815471,130793753,29478985,730099,28748886,81714147,1698237,80015910,19600621,982636,18617985,254262712,123468959,30656586,34200,30622386,77966025,2011820,75954205,14846348,2402667,12443681,130793753,29478985,31149,29447836,81714147,443253,81270894,19600621,239327,19361294,254262712,60135571,53465068,28001136,3037035,170739,21207491,1029005,19662,3244264,585441,20837,140434,294352,10003,2193197,3426239,62261190,46548418,32572466,5015291,189418,7848555,751336,171352,3095253,1069707,40574,304033,266138,31543,1383258,12617519,97418982,75600845,56924632,7421538,1541610,8263753,910372,538940,8081002,1912627,493281,261011,1867756,469490,224919,2851918,13737135,34446969,10182302,862882,147956,9137709,11276,22479,23903448,33672,6978030,6379962,3183736,5217,725247,6597584,361219,194127141,129621992,120139574,114231081,97666709,90098319,10074356,16564372,5908493,5829664,4199281,5146383,78829,9482418,9183834,5846809,3463775,2624555,3337025,298584,287603,148896,279778,10981,64505149,36265257,29812000,18781545,13313010,6453257,28239892,27968483,16668402,27598586,271409,250737214,42506073,34642214,12783260,26782290,7863859,52487517,43183105,26737735,23651419,9304412,44750633,38950446,31075127,13268820,5800187,33719117,30691325,26925495,7189366,3027792,77273874,73450784,68508199,11087573,3823090,194127141,84140089,81153630,71415092,62313818,7046239,328050,3647122,9738538,2986459,2941501,1849973,620656,2365311,145402,44958,48078220,43865171,34271877,22507119,5754470,723190,6633670,9593294,4213049,4166235,1622404,1369677,4016537,322582,46814,61908832,34661371,27638549,11858180,4158625,4520392,10886706,7022822,27247461,26978014,8555713,8614462,26599304,4608680,269447,194127141,84140089,81153630,68181080,12972550,2986459,2291557,694902,48078220,43865171,27951718,15913453,4213049,2728113,1484936,61908832,34661371,16210841,18450530,27247461,15996909,11250552,194127141,84140089,81153630,4873129,76280501,2986459,2376803,609656,48078220,43865171,7486455,36378716,4213049,4021459,191590,61908832,34661371,13652337,21009034,27247461,26626485,620976,168111556,133664587,15493392,9715253,5285999,4920359,5778139,32247446,25202422,19253934,7183827,7045024,40051159,34256135,29088276,6877399,5795024,45872590,43011055,41276201,2757734,2861535,34446969,6027999,5856703,2371830,5740144,171296,10523011,10441835,6379052,10210632,81176,8525541,8478339,5620281,8226316,47202,9370418,9308873,6645416,8847655,61545,254262712,214402326,194763450,147358943,72135312,19638876,39860386,18909417,16690368,12285015,6376453,2219049,20950969,12666782,8877263,4287266,8284187,26235831,13089309,5543303,4776882,766421,7546006,5337055,2208951,13146522,6242379,5428918,813461,6904143,5388855,1515288,26235831,13089309,5543303,4324075,1219228,7546006,4487752,3058254,13146522,6242379,4758691,1483688,6904143,3978065,2926078,250921548,57276117,18353919,16944337,1409582,32960136,22394533,10565603,5962062,5819303,142759,28116706,7613625,6964355,649270,16232139,11542998,4689141,4270942,4217733,53209,73063726,16722397,15760951,961446,45313901,37660007,7653894,11027428,10930992,96436,92464999,16647870,16306537,341333,62630737,59324416,3306321,13186392,13117577,68815,250921548,57276117,18353919,3317969,15035950,32960136,10302115,22658021,5962062,2238568,3723494,28116706,7613625,3430039,4183586,16232139,8324737,7907402,4270942,2165548,2105394,73063726,16722397,12538496,4183901,45313901,33651510,11662391,11027428,6881862,4145566,92464999,16647870,15628112,1019758,62630737,57754985,4875752,13186392,9730544,3455848,250921548,57276117,18353919,14468895,3885024,32960136,13231354,19728782,5962062,5714261,247801,28116706,7613625,3947200,3666425,16232139,3878259,12353880,4270942,4160983,109959,73063726,16722397,3852119,12870278,45313901,5605221,39708680,11027428,10684157,343271,92464999,16647870,975547,15672323,62630737,3168718,59462019,13186392,12465234,721158
